Time,Temperature(℃),Feels Like(℃),Dew Point(℃),Humidity(%),Solar(W/m²),UVI,Rain Rate(in/hr),Daily(in),Event(in),Hourly(in),Weekly(in),Monthly(in),Wind Speed(mph),Wind Gust(mph),Wind Direction(º),Relative(inHg),Absolute(inHg),Weather Condition
88,28,31.8,23.8,69,0,0,0,0,0,0,0,3.87,0.7,3.4,46,28.52,29.19,0.1
88,27.8,31.4,23.8,70,0,0,0,0,0,0,0,3.87,0.2,1.1,83,28.54,29.21,0.042857143
88,27.9,32.1,24.5,71,0,0,0,0,0,0,0,3.87,0,1.1,66,28.52,29.19,0.085714286
88,27.5,31.2,24.3,70,0,0,0,0,0,0,0,3.87,0,0,232,28.55,29.22,0.528571429
88,24.2,24.2,23.2,76,0,0,0.42,0.6,0.6,0.03,0.6,4.47,0,0,60,28.63,29.3,0.071428571
88,26.6,26.6,25,78,0,0,0,0,0.61,0,0.61,4.48,0,1.1,120,28.56,29.23,0
88,24,24,23.5,80,0,0,0.31,0.28,1.72,0.11,2.33,6.2,0.1,2.2,104,28.5,29.17,0.014285714
88,25.8,25.8,25.1,83,0,0,0.07,0.02,1.93,0.02,0.02,6.41,0,1.1,52,28.48,29.15,0
88,25,25,24.1,81,0,0,0,0,4.03,0,2.12,8.51,0,0,51,28.47,29.14,0
88,26.2,26.2,25.9,85,0,0,0,0,0.44,0,2.56,8.95,0,0,184,28.48,29.15,0
88,24.6,24.6,24.1,80,0,0,1.32,0.73,1.68,0.07,3.8,10.19,0,1.1,152,28.47,29.14,0.114285714
88,26.1,26.1,24.8,80,0,0,0,0,1.7,0,3.82,10.21,0,0,126,28.44,29.11,0.028571429
88,26,26,24.5,79,0,0,0,0,0.39,0,4.21,10.6,0,1.1,184,28.39,29.06,0.042857143
88,24.4,24.4,23.9,85,0,0,0,0,1.26,0,5.08,11.47,0,1.1,56,28.48,29.15,0.057142857
88,24.8,24.8,24.3,82,0,0,0,0,2.89,0,0,13.1,0,1.1,143,28.51,29.18,0.157142857
88,24.8,24.8,24.1,84,0,0,0.07,0.02,3.22,0.01,0.33,13.43,0,1.1,98,28.56,29.23,0
88,25.1,25.1,24,80,0,0,0,0,0,0,0.33,13.43,0,0,207,28.65,29.32,0
88,23.5,23.5,23,83,0,0,0,0,0.72,0,1.05,14.15,0,0,188,28.69,29.36,0.014285714
88,25.2,25.2,24.7,83,0,0,0,0,0,0,1.08,14.18,0,0,166,28.7,29.37,0
88,25.8,25.8,25.1,79,0,0,0,0,0,0,1.08,14.18,0,0,158,28.68,29.35,0.214285714
88,26.5,26.9,24.9,77,0,0,0,0,0,0,1.08,14.18,0,0,116,28.63,29.3,0.057142857
88,27.6,32.5,25.7,76,0,0,0,0,0,0,0,14.18,0,0,154,28.61,29.28,0
88,28.6,35.2,26.2,75,0,0,0,0,0,0,0,14.18,0.1,1.1,88,28.58,29.25,0
88,24.8,24.8,24.2,81,0,0,0,0,0.57,0,0.57,0,0,0,114,28.54,29.21,0
88,27,30.8,25.5,78,0,0,0,0,0,0,0.57,0,0,1.1,103,28.61,29.28,0
88,25.3,25.3,21.1,70,0,0,0,0,0,0,0.59,0.02,0.8,3.4,159,28.7,29.37,0
88,25.1,25.1,20.5,67,0,0,0,0,0,0,0.59,0.02,0.8,4.5,176,28.74,29.41,0.028571429
88,24.3,24.3,21.6,70,0,0,0,0,0,0,0.59,0.02,0.1,2.2,162,28.72,29.39,0
88,24.9,24.9,21.3,67,0,0,0,0,0,0,0,0.02,0,0,150,28.71,29.38,0
88,24.7,24.7,20.7,68,0,0,0,0,0,0,0,0.02,0.1,1.1,152,28.74,29.41,0.071428571
88,26.9,29.2,22.4,66,0,0,0,0,0,0,0,0.02,0.3,1.1,174,28.73,29.4,0
88,25.7,25.7,22.8,73,0,0,0,0,0,0,0,0.02,0.2,3.4,153,28.72,29.39,0
88,25.4,25.4,22,69,0,0,0,0,0,0,0,0.02,0,1.1,166,28.68,29.35,0
88,25.8,25.8,22.7,70,0,0,0,0,0,0,0,0.02,0.1,1.1,144,28.67,29.34,0.5
88,26.6,26.6,23.4,70,0,0,0,0,0,0,0,0.02,0,1.1,168,28.68,29.35,0.028571429
88,25.6,25.6,23.6,74,0,0,0,0,0,0,0,0.03,0,0,140,28.55,29.35,0.028571429
88,26.3,26.3,23.9,72,0,0,0,0,0,0,0,0.03,0,0,137,28.53,29.33,0.071428571
88,27,30.5,24.8,73,0,0,0,0,0,0,0,0.03,0,1.1,178,28.54,29.34,0
88,25.4,25.4,24.2,78,0,0,0,0,0,0,0.02,0.05,0,0,142,28.69,29.34,0
88,24.3,24.3,23.8,81,0,0,0.07,0.7,0.81,0.01,0.7,0.86,0,0,154,28.75,29.4,0.5
88,26.8,29.8,24.1,73,0,0,0,0,0,0,0.72,0.88,0,0,136,28.75,29.4,0.328571429
88,24.9,24.9,22.4,72,0,0,0,0,0,0,0.72,0.88,0,0,160,28.72,29.37,0
88,25.7,25.7,22,70,0,0,0,0,0,0,0.73,0.89,0.3,2.2,170,28.73,29.38,0.471428571
88,24.8,24.8,22.2,74,0,0,0,0,0,0,0.75,0.91,0.1,1.1,162,28.75,29.4,0.128571429
88,24.3,24.3,21.8,71,0,0,0,0,0,0,0.75,0.91,0,0,172,28.68,29.33,0.057142857
88,26,26,23.2,72,0,0,0,0,0,0,0.75,0.91,0,1.1,134,28.61,29.26,0.014285714
